id,cshapes_cntry,author_country,marker_name,marker_lat,marker_lon,marker_wkt
2250,United Kingdom,United Kingdom,London,47.4921714058,-0.0580696367,POINT(-0.0580696366992273 47.4921714058009)
2260,United States,United States,Washington,38.7432300178,-59.0521126872,POINT(-59.0521126872068 38.7432300178359)
2270,Uruguay,Uruguay,Montevideo,-34.9656280614,-44.6104579557,POINT(-44.6104579557222 -34.9656280614395)
2280,Uzbekistan,Uzbekistan,Tashkent,40.3070798404,52.4492699707,POINT(52.4492699706725 40.307079840356)
2290,Venezuela,Venezuela,Caracas,10.9216120057,-59.1531032797,POINT(-59.1531032797346 10.9216120056789)
2300,Vietnam,Vietnam,Hanoi,22.5195156332,91.2141204871,POINT(91.2141204871371 22.519515633196)
2310,United Kingdom,Wales,London,47.4921714058,-0.0580696367,POINT(-0.0580696366992273 47.4921714058009)
2320,Yugoslavia,Yugoslavia,Belgrade,42.9883475527,14.7564734364,POINT(14.7564734364266 42.9883475526514)
2330,Zambia,Zambia,Lusaka,-16.8243630751,24.9487547746,POINT(24.9487547746234 -16.8243630751472)
2340,Zimbabwe,Zimbabwe,Harare,-19.1296216612,27.3103809384,POINT(27.3103809383519 -19.1296216612442)
