id,featureid,cshapes_cntry_name,author_country_name,year,author_count,cumulative_count
43666,97,Turkey,Turkey,1978,0,2
43652,238,United States,United States,1978,0,3
43672,3,Venezuela,Venezuela,1978,0,2
43716,152,Vietnam,Vietnam,1978,0,1
43640,191,Yugoslavia,Yugoslavia,1978,0,8
43732,17,Barbados,Barbados,1979,0,1
43737,36,Iceland,Iceland,1979,0,1
43738,37,Ireland,Ireland,1979,2,4
43731,16,Mexico,Mexico,1979,0,6
43772,139,Bangladesh,Bangladesh,1979,0,1
43852,105,Belgium,Belgium,1979,0,1
43819,8,Brazil,Brazil,1979,1,13
43820,9,Chile,Chile,1979,0,7
43801,203,China,China,1979,2,2
43843,28,Costa Rica,Costa Rica,1979,0,2
43757,100,Denmark,Denmark,1979,0,1
43807,226,Egypt,Egypt,1979,1,3
43793,195,Ethiopia,Ethiopia,1979,0,3
43759,106,France,France,1979,0,6
43857,41,Ghana,Ghana,1979,0,2
43756,94,Greece,Greece,1979,1,7
43846,31,Honduras,Honduras,1979,0,1
43800,203,China,Hong Kong,1979,1,9
43822,101,Hungary,Hungary,1979,3,13
43808,227,India,India,1979,2,11
43806,212,Indonesia,Indonesia,1979,2,16
43768,129,Iran,Iran,1979,0,3
43856,222,Israel,Israel,1979,1,7
43754,85,Italy,Italy,1979,1,1
